s/n,service_satisfaction,outcome_satisfaction,phone_easeoffindingnumber,phone_helpfulness,phone_knowledge,phone_quality,phone_manner,phone_queryspeed,phone_answeringspeed,phone_holdingtime,phone_menu,phone_voicemail,writing_easeoffindingaddress,writing_clarity,writing_design,writing_quality,writing_speedresponse,inperson_knowledge,inperson_helpfulness,inperson_qualityadvice,inperson_location,inperson_manner,inperson_welcome,inperson_bizhours,inperson_facilities,inperson_queueing,inperson_formdesign,inperson_speedquery,inperson_helpwithforms,inperson_privacy,email_clarity,email_easeoffindingaddress,email_qualityadvice,email_speedresponse,gender,age,occupation,marital_status,monthly_income,highest_education_level,number_of_dependents,tech_savviness,communication
24,3,1,1,3,4,2,2,1,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,30-39,Others,Single,5001-10000,Tertiary,2,5,Monthly
25,3,2,1,2,2,1,2,2,4,3,4,5,2,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,2,2,Female,40-49,B&F,Widowed,Below 5000,Primary&Below,3,4,Bimonthly
26,2,2,1,5,5,2,3,2,4,2,4,5,1,4,4,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,Above50,B&F,Married,Below 5000,Postgraduate,3,4,Bimonthly
27,2,2,1,5,5,2,5,4,4,2,4,5,1,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,2,Male,Below20,IT,Married,5001-10000,Undergraduate,5,4,Monthly
28,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Widowed,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
29,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Widowed,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
30,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,4,3,4,4,2,2,2,2,2,3,4,2,#NULL!,#NULL!,#NULL!,#NULL!,Female,20-29,IT,Single,10001-20000,Undergraduate,5,4,Bimonthly
31,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Single,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
32,2,2,2,4,4,2,4,2,3,4,4,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,4,2,2,Female,30-39,B&F,Divorced,10001-20000,Postgraduate,2,5,Bimonthly
33,4,4,2,5,5,3,5,3,4,3,5,5,1,2,4,4,2,1,4,4,3,5,5,3,4,4,3,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,Male,40-49,B&F,Married,10001-20000,Undergraduate,4,3,Monthly
34,2,2,2,4,4,2,3,2,2,2,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,2,3,3,4,4,2,2,2,4,4,7,7,#NULL!,#NULL!,#NULL!,#NULL!,Male,Below20,Others,Single,Above 30000,Undergraduate,4,4,Monthly
35,2,2,1,5,5,2,4,2,4,2,4,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,4,4,3,5,2,2,2,2,3,4,4,2,#NULL!,#NULL!,#NULL!,#NULL!,Male,Below20,Others,Married,Above 30000,Undergraduate,3,5,Monthly
36,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,2,2,2,Female,20-29,B&F,Divorced,10001-20000,Postgraduate,3,5,Monthly
37,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Single,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
38,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Married,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
39,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Widowed,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
40,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Widowed,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
41,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Divorced,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
42,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Married,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
43,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Divorced,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
44,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Single,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
45,1,1,7,7,7,7,7,7,7,7,7,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,20-29,Others,Widowed,10001-20000,Postgraduate,5,5,Bimonthly
46,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Widowed,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
47,1,1,1,1,2,1,1,1,1,1,6,6,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,Male,30-39,B&F,Divorced,20001-30000,Undergraduate,2,5,Quarterly
48,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Divorced,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
49,5,5,2,3,3,5,5,5,5,5,5,5,5,2,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,Male,Above50,B&F,Single,5001-10000,Tertiary,1,2,Bimonthly
50,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Married,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
51,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Single,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
52,4,4,2,2,3,3,3,3,3,4,6,6,7,7,7,7,7,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,30-39,Health,Divorced,5001-10000,Primary&Below,2,3,Monthly
53,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Widowed,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
54,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Divorced,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
55,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Divorced,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
56,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Divorced,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
57,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Female,#NULL!,#NULL!,Single,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
58,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Single,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
59,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Widowed,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
60,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,Male,#NULL!,#NULL!,Single,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
